Gene ID	source_id	Organism	Product Description	Fold Change	Chosen Ref (floor)	Chosen Comp (floor)	3D7 2020 sense - 0hr 3D7 DAFT-seq	3D7 2020 sense - 8hr 3D7 DAFT-seq	3D7 2020 sense - 16hr 3D7 DAFT-seq	3D7 2020 sense - 40hr 3D7 DAFT-seq	3D7 2020 sense - 32hr 3D7 DAFT-seq	3D7 2020 sense - 48hr 3D7 DAFT-seq	3D7 2020 sense - 24hr 3D7 DAFT-seq
PF3D7_0105200	PF3D7_0105200.1	Plasmodium falciparum 3D7	RAP protein RAP1	1	137.26	137.26	101.25	108.02	131.44	125.05	136.62	105.73	258.47
PF3D7_0105300	PF3D7_0105300.1	Plasmodium falciparum 3D7	cyclase-associated protein	1	245.24	245.24	312.76	107.12	65.32	509.7	306.95	344.37	96.38
PF3D7_0105400	PF3D7_0105400.1	Plasmodium falciparum 3D7	conserved Plasmodium protein, unknown function	1	65.77	65.77	83.27	31.09	14.46	160.99	54.81	119.9	15.16
PF3D7_0105400	PF3D7_0105400.2	Plasmodium falciparum 3D7	conserved Plasmodium protein, unknown function	1	65.77	65.77	83.27	31.09	14.46	160.99	54.81	119.9	15.16
PF3D7_0105500	PF3D7_0105500.1	Plasmodium falciparum 3D7	conserved protein, unknown function	1	14.85	14.85	10.88	8.88	10.99	15.14	19.57	10.65	30.2
PF3D7_0105600	PF3D7_0105600.1	Plasmodium falciparum 3D7	FtsJ-like methyltransferase, putative	1	84.96	84.96	63.34	95.56	100.53	61.84	94.49	61.95	118.71
PF3D7_0105700	PF3D7_0105700.1	Plasmodium falciparum 3D7	asparagine-rich antigen Pfa35-2	1	129.89	129.89	112.14	119.35	96.67	140.08	161.97	136.25	145.56
PF3D7_0105800	PF3D7_0105800.1	Plasmodium falciparum 3D7	cyclin-dependent kinases regulatory subunit, putative	1	140.59	140.59	131.83	93.79	59.93	219.55	177.13	158.63	143.92
PF3D7_0105900	PF3D7_0105900.1	Plasmodium falciparum 3D7	3'-5' exonuclease, putative	1	81.88	81.88	83.55	61.07	53.66	96.91	98.44	87.19	93.69
PF3D7_0106000	PF3D7_0106000.1	Plasmodium falciparum 3D7	conserved protein, unknown function	1	104.88	104.88	118.49	51.76	29.63	199.97	136.92	120.08	81.83
PF3D7_0106100	PF3D7_0106100.1	Plasmodium falciparum 3D7	V-type proton ATPase subunit C, putative	1	170.84	170.84	109.04	174.23	179.96	173.72	141.81	137.3	283.06
PF3D7_0106200	PF3D7_0106200.1	Plasmodium falciparum 3D7	EF hand domain-containing protein, putative	1	21.76	21.76	26.12	11.19	6.41	38.84	35.25	22.64	13.61
PF3D7_0106300	PF3D7_0106300.1	Plasmodium falciparum 3D7	calcium-transporting ATPase	1	355.83	355.83	253.02	365.05	353.6	389.57	433.54	303.27	397.33
PF3D7_0106400	PF3D7_0106400.1	Plasmodium falciparum 3D7	pre-rRNA-processing protein TSR2, putative	1	136.93	136.93	104.91	199.23	253.5	57.64	64.62	91.2	189.17
PF3D7_0106500	PF3D7_0106500.1	Plasmodium falciparum 3D7	conserved Plasmodium protein, unknown function	1	48.34	48.34	47.03	31.79	26.19	65.33	76.18	47.19	45.46
PF3D7_0106600	PF3D7_0106600.1	Plasmodium falciparum 3D7	conserved Plasmodium protein, unknown function	1	7.33	7.33	15.14	6.71	4.29	10.65	5.98	8.4	2.3
PF3D7_0106700	PF3D7_0106700.1	Plasmodium falciparum 3D7	small ribosomal subunit assembling AARP2 protein	1	203.85	203.85	167.59	285.46	263.85	131.89	171.05	164.32	254.01
PF3D7_0106800	PF3D7_0106800.1	Plasmodium falciparum 3D7	ras-related protein Rab-5C	1	76.66	76.66	34.58	35.48	37.12	118.71	152.32	85.04	83.26
PF3D7_0106900	PF3D7_0106900.1	Plasmodium falciparum 3D7	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase, putative	1	107.22	107.22	120.73	60.92	63.41	121.45	182.54	95.32	108.79
PF3D7_0107000	PF3D7_0107000.1	Plasmodium falciparum 3D7	centrin-1	1	170.82	170.82	101.94	131.4	107.08	228.74	255.61	159.66	223.47
PF3D7_0107100	PF3D7_0107100.1	Plasmodium falciparum 3D7	conserved protein, unknown function	1	40.92	40.92	25.93	23.72	39.11	32.02	61.21	32.69	72.93
PF3D7_0107200	PF3D7_0107200.1	Plasmodium falciparum 3D7	CCR4 domain-containing protein 3, putative	1	25.18	25.18	17.51	27.14	20.91	20.48	24.14	19.74	47.04
PF3D7_0107300	PF3D7_0107300.1	Plasmodium falciparum 3D7	conserved Plasmodium protein, unknown function	1	19.73	19.73	18.74	28.61	18.32	14.94	12.8	24.67	20.16
PF3D7_0107400	PF3D7_0107400.1	Plasmodium falciparum 3D7	ATP synthase-associated protein, putative	1	55.50	55.5	60.67	42.35	39.86	60	75.14	55.52	57.04
PF3D7_0107500	PF3D7_0107500.1	Plasmodium falciparum 3D7	Niemann-Pick type C1-related protein	1	475.11	475.11	753.94	567.33	438.52	325.56	264.26	599.17	387.94
PF3D7_0107600	PF3D7_0107600.1	Plasmodium falciparum 3D7	eukaryotic translation initiation factor 2-alpha kinase 2, putative	1	22.18	22.18	30.96	28.62	25.13	14.53	15.82	24.04	16.45
PF3D7_0107700	PF3D7_0107700.1	Plasmodium falciparum 3D7	dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit OST3/OST6, putative	1	18.74	18.74	23.41	19.38	12.48	19.56	20.55	15.75	23.31
PF3D7_0107800	PF3D7_0107800.1	Plasmodium falciparum 3D7	double-strand break repair protein MRE11	1	69.35	69.35	47.08	49.9	51.65	59.41	102.72	40.93	137.09
PF3D7_0107900	PF3D7_0107900.1	Plasmodium falciparum 3D7	conserved Plasmodium protein, unknown function	1	79.64	79.64	45.44	91.23	114.58	47.82	66.53	43.78	153.49
PF3D7_0108000	PF3D7_0108000.1	Plasmodium falciparum 3D7	proteasome subunit beta type-3, putative	1	273.18	273.18	133.43	178.19	260.51	333.64	443.14	240.03	336.72
PF3D7_0108100	PF3D7_0108100.1	Plasmodium falciparum 3D7	conserved protein, unknown function	1	49.57	49.57	39.83	37.79	37	61.41	62.83	46.27	62.08
PF3D7_0108300	PF3D7_0108300.1	Plasmodium falciparum 3D7	conserved Plasmodium protein, unknown function	1	652.54	652.54	782.25	807.87	754.81	462.03	504.07	602.61	682.48
PF3D7_0108400	PF3D7_0108400.1	Plasmodium falciparum 3D7	mitochondrial carrier protein, putative	1	56.91	56.91	78.65	83.21	64.48	40.05	27.87	58.38	49.47
PF3D7_0108400	PF3D7_0108400.2	Plasmodium falciparum 3D7	mitochondrial carrier protein, putative	1	56.91	56.91	78.65	83.21	64.48	40.05	27.87	58.38	49.47
PF3D7_0108500	PF3D7_0108500.1	Plasmodium falciparum 3D7	ELM2 domain-containing protein, putative	1	875.89	875.89	1815.21	1359.55	668.74	493.92	120.75	1570.36	170.75
PF3D7_0108600	PF3D7_0108600.1	Plasmodium falciparum 3D7	DnaJ domain-containing protein, putative	1	71.01	71.01	124.41	91.75	54.71	53.35	49.79	100.36	56.47
PF3D7_0108700	PF3D7_0108700.1	Plasmodium falciparum 3D7	secreted ookinete protein, putative	1	281.43	281.43	233.53	269.84	304.34	267.57	384.69	226.03	296.68
PF3D7_0108800	PF3D7_0108800.1	Plasmodium falciparum 3D7	mitochondrial carrier protein, putative	1	54.51	54.51	53.52	55.44	43.77	48.19	70.24	42.11	70.97
PF3D7_0109000	PF3D7_0109000.1	Plasmodium falciparum 3D7	photosensitized INA-labeled protein PHIL1	1	283.61	283.61	520.07	160.59	61.82	475.3	100.2	652.62	36.43
PF3D7_0109100	PF3D7_0109100.1	Plasmodium falciparum 3D7	LCCL domain-containing protein	1	38.30	38.3	71.22	35.82	17.16	45.8	16.14	77.99	13.23
PF3D7_0109200	PF3D7_0109200.1	Plasmodium falciparum 3D7	cleavage and polyadenylation specificity factor subunit 5, putative	1	32.65	32.65	18.95	22.03	28.87	37.02	45.21	23.27	54.98
PF3D7_0109300	PF3D7_0109300.1	Plasmodium falciparum 3D7	elongation of fatty acids protein, putative	1	58.55	58.55	100.31	65.21	41.92	54.58	41.41	57.35	51.38
PF3D7_0109400	PF3D7_0109400.1	Plasmodium falciparum 3D7	tubulin-specific chaperone a, putative	1	129.33	129.33	115.13	147.92	135.77	95.3	103.81	101.17	208.92
PF3D7_0109500	PF3D7_0109500.1	Plasmodium falciparum 3D7	N-acetyltransferase, GNAT family, putative	1	91.25	91.25	44.48	95.02	126.63	69.96	126.92	74.44	104.17
PF3D7_0109600	PF3D7_0109600.1	Plasmodium falciparum 3D7	cold-shock protein	1	62.87	62.87	68.47	79.5	98	58.05	71.25	76.31	96.48
PF3D7_0109700	PF3D7_0109700.1	Plasmodium falciparum 3D7	rRNA biogenesis protein RRP36, putative	1	157.90	157.9	244.24	212.59	249.78	89.87	96.32	131.37	131.27
PF3D7_0109800	PF3D7_0109800.1	Plasmodium falciparum 3D7	phenylalanine--tRNA ligase alpha subunit	1	185.29	185.29	160.32	271.8	195.2	119.59	174.6	127.78	251.43
PF3D7_0109850	PF3D7_0109850.1	Plasmodium falciparum 3D7	phosphatidate cytidylyltransferase, putative	1	34.15	34.15	26.43	18.63	10.5	74.23	76.45	38.3	33
PF3D7_0109950	PF3D7_0109950.1	Plasmodium falciparum 3D7	respiratory chain complex 2 associated protein 3	1	56.36	56.36	55.72	83.85	52.35	68.97	70.05	42.83	136.91
PF3D7_0110000	PF3D7_0110000.1	Plasmodium falciparum 3D7	conserved Plasmodium protein, unknown function	1	176.10	176.1	111.96	154.78	213.62	164.05	204.85	217.23	179.84
PF3D7_0110100	PF3D7_0110100.1	Plasmodium falciparum 3D7	selenocysteine-specific elongation factor, putative	1	46.69	46.69	33.3	56.86	52.62	31.29	50.4	34.01	70.54
PF3D7_0110200	PF3D7_0110200.1	Plasmodium falciparum 3D7	FAD-linked sulfhydryl oxidase ERV1, putative	1	63.66	63.66	50.87	66.58	106.29	36.6	58.56	31.83	96.18
PF3D7_0110400	PF3D7_0110400.1	Plasmodium falciparum 3D7	DNA-directed RNA polymerase II subunit RPB9, putative	1	216.90	216.9	172.03	282.53	303.02	151.22	215	172.54	230.3
PF3D7_0110500	PF3D7_0110500.1	Plasmodium falciparum 3D7	bromodomain protein 3, putative	1	220.83	220.83	155.47	183.93	264.54	186.42	268.27	190.58	303.58
PF3D7_0110600	PF3D7_0110600.1	Plasmodium falciparum 3D7	phosphatidylinositol-4-phosphate 5-kinase	1	355.32	355.32	412.72	452.4	387.96	290.21	295.35	409.5	314.8
PF3D7_0110700	PF3D7_0110700.1	Plasmodium falciparum 3D7	chromatin assembly factor 1 subunit C, putative	1	138.76	138.76	132.41	115.79	117.34	112.19	157.44	136.2	201.7
PF3D7_0110800	PF3D7_0110800.1	Plasmodium falciparum 3D7	transcription initiation factor TFIIB, putative	1	213.65	213.65	198.73	262.57	257.07	167.76	156.08	217.35	238.67
PF3D7_0110900	PF3D7_0110900.1	Plasmodium falciparum 3D7	adenylate kinase-like protein 1	1	39.23	39.23	26.55	42.17	62.99	18.29	30.45	18.67	77.11
PF3D7_0111000	PF3D7_0111000.1	Plasmodium falciparum 3D7	kinesin-8B, putative	1	72.43	72.43	67.99	55.41	36.1	100.41	95.77	88.77	64
PF3D7_0111200	PF3D7_0111200.1	Plasmodium falciparum 3D7	conserved protein, unknown function	1	23.47	23.47	26.34	21.74	13.88	23.48	24.38	13.74	41.54
PF3D7_0111300	PF3D7_0111300.1	Plasmodium falciparum 3D7	P-loop containing nucleoside triphosphate hydrolase, putative	1	124.40	124.4	94.33	59.48	75.31	151.29	232.24	96.86	193.62
PF3D7_0111400	PF3D7_0111400.1	Plasmodium falciparum 3D7	conserved Plasmodium protein, unknown function	1	71.49	71.49	53.58	44.41	49.91	87.96	109.54	59.13	98.06
PF3D7_0111500	PF3D7_0111500.1	Plasmodium falciparum 3D7	UMP-CMP kinase, putative	1	107.24	107.24	84.43	45.09	41.92	211.61	141.03	142.72	96.48
PF3D7_0111600	PF3D7_0111600.1	Plasmodium falciparum 3D7	conserved Plasmodium protein, unknown function	1	104.46	104.46	79.32	113.57	163.55	90.73	137	72.15	177.32
PF3D7_0111700	PF3D7_0111700.1	Plasmodium falciparum 3D7	conserved protein, unknown function	1	27.83	27.83	34.6	41.56	54.57	26.57	45.7	22.05	61.76
PF3D7_0111800	PF3D7_0111800.1	Plasmodium falciparum 3D7	eukaryotic translation initiation factor 4E, putative	1	171.31	171.31	124.79	134.49	207.11	141.17	200.67	113.77	283.85
PF3D7_0111900	PF3D7_0111900.1	Plasmodium falciparum 3D7	mitochondrial distribution and morphology protein, putative	1	238.60	238.6	156.84	223.21	329.48	394.24	340.66	284.12	545.46
PF3D7_0112000	PF3D7_0112000.1	Plasmodium falciparum 3D7	TatD-like deoxyribonuclease	1	96.78	96.78	62.75	116.89	134.24	96.34	139.25	78.81	183.92
PF3D7_0112100	PF3D7_0112100.1	Plasmodium falciparum 3D7	PIMMS1 protein	1	3.76 (4.49)	3.76 (4.49)	3.61	6.83	4.36	2.38	1.32	2.8	5.04
PF3D7_0112200	PF3D7_0112200.1	Plasmodium falciparum 3D7	multidrug resistance-associated protein 1	1	84.01	84.01	28.32	27.88	80.33	69.14	129.19	26.65	229.22
PF3D7_0112800	PF3D7_0112800.1	Plasmodium falciparum 3D7	Plasmodium exported protein (hyp11), unknown function	1	20.69	20.69	42.87	35.53	16.66	11.64	9.99	18.07	10.29
PF3D7_0112900	PF3D7_0112900.1	Plasmodium falciparum 3D7	Plasmodium exported protein, unknown function	1	25.76	25.76	70.98	21.3	15.42	18.18	13.61	30.97	10.41
PF3D7_0113000	PF3D7_0113000.1	Plasmodium falciparum 3D7	glutamic acid-rich protein GARP	1	820.75	820.75	290.03	986.1	2348.57	208.33	674.4	239.82	1083.72
PF3D7_0113100	PF3D7_0113100.1	Plasmodium falciparum 3D7	surface-associated interspersed protein 1.1 (SURFIN 1.1)	1	39.96	39.96	40.57	24.59	44.9	36.87	45.97	33.23	56
PF3D7_0113200	PF3D7_0113200.1	Plasmodium falciparum 3D7	Plasmodium exported protein, unknown function	1	161.52	161.52	63.89	79.57	270.51	132.74	196.6	83.56	306.97
PF3D7_0113300	PF3D7_0113300.1	Plasmodium falciparum 3D7	Plasmodium exported protein (hyp1), unknown function	1	91.11	91.11	158.24	226.11	92.35	24.93	15.98	80.68	40.51
PF3D7_0113400	PF3D7_0113400.1	Plasmodium falciparum 3D7	Plasmodium exported protein, unknown function	1	37.78	37.78	35.27	37.76	52.86	26.82	33.71	33.02	45.67
PF3D7_0113700	PF3D7_0113700.1	Plasmodium falciparum 3D7	heat shock protein 40, type II	1	182.27	182.27	320.43	354.36	248.56	63.04	39.22	161.08	91.91
PF3D7_0113800	PF3D7_0113800.1	Plasmodium falciparum 3D7	DBL containing protein, unknown function	1	46.03	46.03	51.09	98.14	83.44	10.21	27.79	20.58	32.12
PF3D7_0113900	PF3D7_0113900.1	Plasmodium falciparum 3D7	CX3CL1-binding protein 1	1	115.35	115.35	190.57	283.69	117.29	42.69	12.51	128.37	32.74
PF3D7_0114000	PF3D7_0114000.1	Plasmodium falciparum 3D7	exported protein family 1	1	160.95	160.95	129.73	151.1	202.32	164.09	141.24	273.55	130.26
PF3D7_0114100	PF3D7_0114100.1	Plasmodium falciparum 3D7	Pfmc-2TM Maurer's cleft two transmembrane protein	1	24.68	24.68	6.23	14.12	93.34	10.38	21.36	6.03	107.66
PF3D7_0114200	PF3D7_0114200.1	Plasmodium falciparum 3D7	exported protein family 3	1	0.70 (2.12)	0.7 (2.12)	0.57	0.21	0.82	0.45	1.24	0.44	1.39
PF3D7_0114500	PF3D7_0114500.1	Plasmodium falciparum 3D7	Plasmodium exported protein (hyp10), unknown function	1	11.56	11.56	0.83	9.6	49.44	1.53	2.42	1.07	16.03
PF3D7_0114700	PF3D7_0114700.1	Plasmodium falciparum 3D7	rifin	1	0.00 (2.27)	0 (2.27)	0	0	0	0	0	0	0
PF3D7_0114750	PF3D7_0114750.1	Plasmodium falciparum 3D7	Plasmodium exported protein, unknown function, fragment	1	0.00 (12.49)	0 (12.49)	0	0	0	0	0	0	0
PF3D7_0114800	PF3D7_0114800.1	Plasmodium falciparum 3D7	Plasmodium exported protein (hyp7), unknown function	1	0.25 (3.49)	0.25 (3.49)	0	0.36	0.34	0.37	0	0	0.65
PF3D7_0115000	PF3D7_0115000.1	Plasmodium falciparum 3D7	surface-associated interspersed protein 1.3 (SURFIN 1.3)	1	2.73	2.73	5.18	17.36	28.97	7.01	9.06	6.91	18.31
PF3D7_0115100	PF3D7_0115100.1	Plasmodium falciparum 3D7	Plasmodium exported protein (PHISTa), unknown function	1	5.83	5.83	15.1	10.42	6.32	10.35	4.4	8.85	10.57
PF3D7_0115200	PF3D7_0115200.1	Plasmodium falciparum 3D7	rifin	1	0.20 (2)	0.2 (2)	0	0.61	0	0	0.39	0.21	0.19
PF3D7_0115300	PF3D7_0115300.1	Plasmodium falciparum 3D7	rifin	1	0.16 (2.19)	0.16 (2.19)	0	0	0.42	0.23	0	0.23	0.21
PF3D7_0115400	PF3D7_0115400.1	Plasmodium falciparum 3D7	stevor	1	2.12 (2.44)	2.12 (2.44)	0.33	1.24	6.87	1.03	0.47	1.01	4.12
PF3D7_0115600	PF3D7_0115600.1	Plasmodium falciparum 3D7	rifin	1	7.60	7.6	0.78	2.56	26.16	1.43	3.4	1.01	18.88
PF3D7_0115700	PF3D7_0115700.1	Plasmodium falciparum 3D7	erythrocyte membrane protein 1, PfEMP1	1	2.93	2.93	2.51	5.85	3.57	2.72	1.59	4.03	1.66
PF3D7_0200100	PF3D7_0200100.1	Plasmodium falciparum 3D7	erythrocyte membrane protein 1, PfEMP1	1	2.57	2.57	2.88	7.06	4.22	1.23	1.17	2.86	1.77
PF3D7_0200200	PF3D7_0200200.1	Plasmodium falciparum 3D7	rifin	1	0.34 (2.2)	0.34 (2.2)	0.59	0.89	0	0	0	0.46	0.41
PF3D7_0200300	PF3D7_0200300.1	Plasmodium falciparum 3D7	erythrocyte membrane protein 1 (PfEMP1), exon 2	1	0.19 (1.67)	0.19 (1.67)	3.13	3.39	4.38	4.24	2.44	4.16	3.76
PF3D7_0200400	PF3D7_0200400.1	Plasmodium falciparum 3D7	stevor	1	0.24 (2.42)	0.24 (2.42)	0	0.24	0.7	0.26	0	0.25	0.45
PF3D7_0200500	PF3D7_0200500.1	Plasmodium falciparum 3D7	rifin	1	0.15 (1.99)	0.15 (1.99)	0.27	0	0.19	0	0.39	0	0.37
PF3D7_0200600	PF3D7_0200600.1	Plasmodium falciparum 3D7	rifin	1	0.09 (1.96)	0.09 (1.96)	0.26	0	0.38	0	0	0	0
PF3D7_0200700	PF3D7_0200700.1	Plasmodium falciparum 3D7	rifin	1	0.28 (2.23)	0.28 (2.23)	0.3	0.45	0.65	0	0	0.23	0.62
PF3D7_0201000	PF3D7_0201000.1	Plasmodium falciparum 3D7	rifin	1	0.07 (2.35)	0.07 (2.35)	0	0	0	0	0.23	0.25	0
PF3D7_0201100	PF3D7_0201100.1	Plasmodium falciparum 3D7	Plasmodium exported protein, unknown function, fragment	1	0.00 (10.38)	0 (10.38)	0	0	0	0	0	0	0
PF3D7_0201200	PF3D7_0201200.1	Plasmodium falciparum 3D7	rifin	1	0.15 (2.06)	0.15 (2.06)	0	0	0.4	0.22	0.4	0	0
PF3D7_0201300	PF3D7_0201300.1	Plasmodium falciparum 3D7	stevor	1	0.10 (2.41)	0.1 (2.41)	0	0	0.47	0.25	0	0	0
