Gene ID	source_id	Organism	Genomic Location (Gene)	Product Description	Computed GO Component IDs	Computed GO Components	Computed GO Function IDs	Computed GO Functions	Computed GO Process IDs	Computed GO Processes	Curated GO Component IDs	Curated GO Components	Curated GO Function IDs	Curated GO Functions	Curated GO Process IDs	Curated GO Processes	EC numbers	EC numbers from OrthoMCL
PF3D7_0103000	PF3D7_0103000.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:131,609..134,133(-)	vacuolar protein sorting-associated protein VTA1, putative	GO:0010008	endosome membrane	N/A	N/A	GO:0015031	protein transport	GO:0005771	multivesicular body	N/A	N/A	GO:0032511	late endosome to vacuole transport via multivesicular body sorting pathway	N/A	N/A
PF3D7_0103100	PF3D7_0103100.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:134,155..140,371(-)	vacuolar protein sorting-associated protein 51, putative	GO:0005829	cytosol	N/A	N/A	N/A	N/A	GO:1990745;GO:0000938;GO:0005794;GO:0016020	EARP complex;GARP complex;Golgi apparatus;membrane	N/A	N/A	GO:0007030;GO:0048193;GO:0032456;GO:0007041;GO:0015031;GO:0042147	Golgi organization;Golgi vesicle transport;endocytic recycling;lysosomal transport;protein transport;retrograde transport, endosome to Golgi	N/A	N/A
PF3D7_0103200	PF3D7_0103200.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:140,494..143,049(-)	nucleoside transporter 4	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	GO:0016020	membrane	GO:0005345;GO:0015211	purine nucleobase transmembrane transporter activity;purine nucleoside transmembrane transporter activity	GO:0006863;GO:0015860	purine nucleobase transport;purine nucleoside transmembrane transport	N/A	N/A
PF3D7_0103300	PF3D7_0103300.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:143,389..146,959(-)	conserved protein, unknown function	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0103400	PF3D7_0103400.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:147,031..152,795(-)	zinc-carboxypeptidase, putative	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3.4.17.10 (Carboxypeptidase E)	3.4.17.- (Metallocarboxypeptidases.);3.4.17.10 (Carboxypeptidase E)
PF3D7_0103500	PF3D7_0103500.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:153,669..160,630(+)	conserved Plasmodium protein, unknown function	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0103600	PF3D7_0103600.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:160,673..166,273(+)	ATP-dependent DNA/RNA helicase PSH1	GO:0016021	integral component of membrane	GO:0005524;GO:0003724;GO:0003676	ATP binding;RNA helicase activity;nucleic acid binding	N/A	N/A	GO:0020011;GO:0005737;GO:0005730;GO:0005634	apicoplast;cytoplasm;nucleolus;nucleus	GO:0043138;GO:0043139;GO:0016887;GO:0003724	3'-5' DNA helicase activity;5'-3' DNA helicase activity;ATP hydrolysis activity;RNA helicase activity	N/A	N/A	3.6.4.13 (RNA helicase)	3.6.4.13 (RNA helicase)
PF3D7_0103700	PF3D7_0103700.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:166,497..168,687(+)	L-seryl-tRNA(Sec) kinase, putative	N/A	N/A	GO:0043915	L-seryl-tRNA(Sec) kinase activity	N/A	N/A	N/A	N/A	GO:0016301;GO:0000049	kinase activity;tRNA binding	N/A	N/A	2.7.1.164 (O-phosphoseryl-tRNA(Sec) kinase)	2.7.1.164 (O-phosphoseryl-tRNA(Sec) kinase)
PF3D7_0103800	PF3D7_0103800.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:168,768..171,442(-)	actin-related protein ARP1, putative	N/A	N/A	N/A	N/A	N/A	N/A	GO:0020036;GO:0045177;GO:0005869	Maurer's cleft;apical part of cell;dynactin complex	GO:0005200	structural constituent of cytoskeleton	N/A	N/A	N/A	N/A
PF3D7_0103900	PF3D7_0103900.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:172,470..175,055(+)	parasite-infected erythrocyte surface protein	GO:0016021;GO:0016020	integral component of membrane;membrane	N/A	N/A	N/A	N/A	GO:0030134;GO:0000139;GO:0005789;GO:0005793	COPII-coated ER to Golgi transport vesicle;Golgi membrane;endoplasmic reticulum membrane;endoplasmic reticulum-Golgi intermediate compartment	GO:0005537;GO:0005515	mannose binding;protein binding	GO:0007030;GO:0007029;GO:0006888	Golgi organization;endoplasmic reticulum organization;endoplasmic reticulum to Golgi vesicle-mediated transport	N/A	N/A
PF3D7_0104000	PF3D7_0104000.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:175,609..176,376(+)	thrombospondin-related sporozoite protein	GO:0016021	integral component of membrane	N/A	N/A	GO:0007165	signal transduction	GO:0009986	cell surface	N/A	N/A	GO:0044409	entry into host	N/A	N/A
PF3D7_0104100	PF3D7_0104100.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:177,187..181,825(+)	protein E140, putative	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	GO:0045177;GO:0045178;GO:0009986;GO:0016020;GO:0020005	apical part of cell;basal part of cell;cell surface;membrane;symbiont-containing vacuole membrane	N/A	N/A	GO:0052553	modulation by symbiont of host immune response	N/A	N/A
PF3D7_0104200	PF3D7_0104200.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:182,205..184,820(-)	StAR-related lipid transfer protein	N/A	N/A	N/A	N/A	N/A	N/A	GO:0044164;GO:0016021;GO:0016020;GO:0020003	host cell cytosol;integral component of membrane;membrane;symbiont-containing vacuole	GO:0008525;GO:0008526	phosphatidylcholine transporter activity;phosphatidylinositol transfer activity	GO:2001139;GO:0015914	negative regulation of phospholipid transport;phospholipid transport	N/A	N/A
PF3D7_0104300	PF3D7_0104300.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:188,420..201,324(+)	ubiquitin carboxyl-terminal hydrolase 1, putative	N/A	N/A	GO:0004843	thiol-dependent deubiquitinase	GO:0006511	ubiquitin-dependent protein catabolic process	GO:0005829;GO:0005634;GO:0000502	cytosol;nucleus;proteasome complex	GO:0004197;GO:0004843	cysteine-type endopeptidase activity;thiol-dependent deubiquitinase	GO:0006897;GO:0016579;GO:0009410;GO:0006511	endocytosis;protein deubiquitination;response to xenobiotic stimulus;ubiquitin-dependent protein catabolic process	3.4.19.12 (Ubiquitinyl hydrolase 1)	3.4.19.12 (Ubiquitinyl hydrolase 1)
PF3D7_0104400	PF3D7_0104400.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:201,354..204,250(+)	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	GO:0016021	integral component of membrane	GO:0051539;GO:0051745;GO:0046872	4 iron, 4 sulfur cluster binding;4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase activity;metal ion binding	GO:0050992;GO:0019288	dimethylallyl diphosphate biosynthetic process;isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway	GO:0020011	apicoplast	GO:0051745	4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase activity	GO:0019288	isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway	1.17.1.2 (Transferred entry: 1.17.7.4);1.17.7.4 (4-hydroxy-3-methylbut-2-enyl diphosphate reductase)	1.17.1.2 (Transferred entry: 1.17.7.4);1.17.7.4 (4-hydroxy-3-methylbut-2-enyl diphosphate reductase)
PF3D7_0104500	PF3D7_0104500.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:204,368..205,612(-)	conserved protein, unknown function	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0104600	PF3D7_0104600.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:205,812..210,273(+)	conserved Plasmodium protein, unknown function	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0104700	PF3D7_0104700.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:210,870..213,005(+)	major facilitator superfamily-related transporter, putative	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	GO:0005886	plasma membrane	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0104800	PF3D7_0104800.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:215,143..217,616(+)	novel putative transporter 1, putative	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	GO:0071944;GO:0005886	cell periphery;plasma membrane	N/A	N/A	GO:0015819	lysine transport	N/A	N/A
PF3D7_0104900	PF3D7_0104900.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:218,517..218,824(-)	RNase MRP	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0105000	PF3D7_0105000.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:218,894..219,223(-)	non-coding RNA	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0105100	PF3D7_0105100.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:220,727..221,928(+)	conserved Apicomplexan protein, unknown function	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0105200	PF3D7_0105200.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:222,086..224,501(-)	RAP protein RAP1	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005739	mitochondrion	GO:0003729;GO:0097177;GO:0019843	mRNA binding;mitochondrial ribosome binding;rRNA binding	N/A	N/A	N/A	N/A
PF3D7_0105300	PF3D7_0105300.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:224,638..226,017(-)	cyclase-associated protein	N/A	N/A	GO:0003779	actin binding	GO:0000902;GO:0007010	cell morphogenesis;cytoskeleton organization	GO:0030864	cortical actin cytoskeleton	GO:0003779;GO:0003785;GO:0008179;GO:0046983	actin binding;actin monomer binding;adenylate cyclase binding;protein dimerization activity	GO:0008154;GO:0000902;GO:0007163;GO:0045761	actin polymerization or depolymerization;cell morphogenesis;establishment or maintenance of cell polarity;regulation of adenylate cyclase activity	N/A	N/A
PF3D7_0105400	PF3D7_0105400.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:226,036..227,419(-)	conserved Plasmodium protein, unknown function	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0105400	PF3D7_0105400.2	Plasmodium falciparum 3D7	Pf3D7_01_v3:226,036..227,419(-)	conserved Plasmodium protein, unknown function	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0105500	PF3D7_0105500.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:228,485..229,519(-)	conserved protein, unknown function	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005739	mitochondrion	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0105600	PF3D7_0105600.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:229,943..234,464(-)	FtsJ-like methyltransferase, putative	GO:0016021	integral component of membrane	GO:0008168	methyltransferase activity	GO:0032259	methylation	GO:0005737;GO:0005634	cytoplasm;nucleus	GO:0004483	mRNA (nucleoside-2'-O-)-methyltransferase activity	GO:0006370;GO:0097309	7-methylguanosine mRNA capping;cap1 mRNA methylation	N/A	N/A
PF3D7_0105700	PF3D7_0105700.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:236,742..248,183(+)	asparagine-rich antigen Pfa35-2	N/A	N/A	N/A	N/A	N/A	N/A	GO:0048188;GO:0005634	Set1C/COMPASS complex;nucleus	GO:0003729	mRNA binding	GO:0051568	histone H3-K4 methylation	N/A	N/A
PF3D7_0105800	PF3D7_0105800.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:248,434..253,057(-)	cyclin-dependent kinases regulatory subunit, putative	N/A	N/A	GO:0016538	cyclin-dependent protein serine/threonine kinase regulator activity	GO:0007049;GO:0051301	cell cycle;cell division	GO:0005634	nucleus	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0105900	PF3D7_0105900.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:253,089..255,771(+)	3'-5' exonuclease, putative	N/A	N/A	GO:0008408;GO:0003676	3'-5' exonuclease activity;nucleic acid binding	GO:0006139	nucleobase-containing compound metabolic process	GO:0005737;GO:0005634	cytoplasm;nucleus	GO:0008408;GO:0003677	3'-5' exonuclease activity;DNA binding	N/A	N/A	3.1.11.- (Exodeoxyribonucleases producing 5'-phosphomonoesters.);3.1.11.1 (Exodeoxyribonuclease I)	2.3.1.181 (Lipoyl(octanoyl) transferase);3.1.11.- (Exodeoxyribonucleases producing 5'-phosphomonoesters.);3.1.11.1 (Exodeoxyribonuclease I);3.1.11.2 (Exodeoxyribonuclease III)
PF3D7_0106000	PF3D7_0106000.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:255,113..258,624(-)	conserved protein, unknown function	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0106100	PF3D7_0106100.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:260,105..262,008(-)	V-type proton ATPase subunit C, putative	GO:0033180	proton-transporting V-type ATPase, V1 domain	GO:0015078	proton transmembrane transporter activity	GO:1902600	proton transmembrane transport	GO:0020020;GO:0005753;GO:0005634;GO:0000221	food vacuole;mitochondrial proton-transporting ATP synthase complex;nucleus;vacuolar proton-transporting V-type ATPase, V1 domain	GO:0008553;GO:0046961	P-type proton-exporting transporter activity;proton-transporting ATPase activity, rotational mechanism	GO:0015986	ATP synthesis coupled proton transport	3.6.3.14 (Transferred entry: 7.1.2.2)	3.6.1.- (In phosphorus-containing anhydrides.);3.6.1.34 (Transferred entry: 7.1.2.2);3.6.3.14 (Transferred entry: 7.1.2.2);3.6.3.15 (Transferred entry: 7.2.2.1)
PF3D7_0106200	PF3D7_0106200.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:262,750..264,323(-)	EF hand domain-containing protein, putative	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2.7.11.1 (Non-specific serine/threonine protein kinase)
PF3D7_0106300	PF3D7_0106300.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:264,487..270,234(-)	calcium-transporting ATPase	GO:0016021	integral component of membrane	GO:0005524;GO:0000166	ATP binding;nucleotide binding	N/A	N/A	N/A	N/A	GO:0016887;GO:0005388;GO:0008553;GO:0003723	ATP hydrolysis activity;P-type calcium transporter activity;P-type proton-exporting transporter activity;RNA binding	GO:0070588;GO:0006816;GO:0006874;GO:0042493;GO:0009410	calcium ion transmembrane transport;calcium ion transport;cellular calcium ion homeostasis;response to drug;response to xenobiotic stimulus	3.6.3.8 (Transferred entry: 7.2.2.10)	2.7.1.26 (Riboflavin kinase);3.6.3.6 (Transferred entry: 7.1.2.1);3.6.3.8 (Transferred entry: 7.2.2.10);7.2.2.10 (P-type Ca(2+) transporter);7.2.2.14 (P-type Mg(2+) transporter)
PF3D7_0106400	PF3D7_0106400.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:272,296..273,701(+)	pre-rRNA-processing protein TSR2, putative	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	N/A	N/A
PF3D7_0106500	PF3D7_0106500.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:274,094..278,747(+)	conserved Plasmodium protein, unknown function	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0106600	PF3D7_0106600.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:279,115..280,014(+)	conserved Plasmodium protein, unknown function	N/A	N/A	N/A	N/A	N/A	N/A	GO:0044538	host cell periphery	N/A	N/A	N/A	N/A	N/A	N/A
